collection,dataset,ROC_AUC,PR_AUC,RANGE_PR_AUC,AVERAGE_PRECISION,overall_time
NAB,exchange-4_cpm_results,0.5483259537999999,0.23602327180000002,0.23443508429999999,0.2376037739,11.1527082921
NAB,grok_asg_anomaly,0.5533735653,0.14695830299999998,0.1279685412,0.1469649914,16.875989198800003
NAB,ec2_cpu_utilization_24ae8d,0.5580667941999999,0.22694082719999997,0.2078062352,0.2174077697,15.861638307300002
NAB,ambient_temperature_system_failure,0.5588685776,0.17393002259999998,0.1662324414,0.1743277816,31.704022692800002
GutenTAG,poly-type-trend,0.5844189393,0.11116427770000001,0.116775506,0.1125848603,32.8691602466
NASA-SMAP,G-4,0.5921765388,0.49285775750000005,0.390172316,0.2363127844,22.8488099093
NAB,rds_cpu_utilization_e47b3b,0.5941457315,0.2469008219,0.26103917439999996,0.2473599762,17.2576414351
NAB,ec2_cpu_utilization_77c1ca,0.5949254590999999,0.13428576009999998,0.1432746143,0.13069948469999998,22.808728598600002
NAB,ec2_network_in_5abac7,0.5954879039,0.18369735380000002,0.1990499693,0.1788627945,17.0640796435
GutenTAG,cbf-diff-count-1,0.5959387878,0.018163398,0.019883455900000003,0.0187342814,50.4512350289
NASA-MSL,T-8,0.5965381847,0.1969842871,0.22784583929999996,0.1592172242,9.6539385319
GutenTAG,poly-diff-count-4,0.5974873254,0.2168955714,0.20503540110000001,0.21144586529999998,30.7758596886
GutenTAG,poly-diff-count-5,0.5983829622,0.3048401805,0.24647083649999998,0.3054616422,32.8652337077
NAB,ec2_network_in_257a54,0.5988454597,0.2967834227,0.27423032589999996,0.25617381699999997,20.3189561369
NASA-MSL,P-14,0.6006230522,0.37203199929999997,0.3300233848,0.3698928212,14.557736134399999
GutenTAG,cbf-diff-count-4,0.6082654341,0.0513548821,0.1635510732,0.0517466307,45.7688167802
NAB,exchange-4_cpc_results,0.6098382336,0.2460641879,0.23314426,0.2479903838,10.493904614
NormA,Discords_marotta_valve_tek_14,0.6102485953,0.0990776825,0.0781749243,0.0917315962,23.6697018867
NAB,iio_us-east-1_i-a2eb1cd9_NetworkIn,0.6139148229,0.2046138495,0.207237786,0.17165853979999998,13.934136652800001
NAB,TravelTime_387,0.6211134185,0.21088772530000002,0.2012861859,0.21214140480000002,14.8727216007
NASA-SMAP,E-7,0.621428793,0.3506080036,0.33857586230000003,0.3322205518,36.0040439403
NAB,ec2_request_latency_system_failure,0.6227141285,0.2880319032,0.2577099381,0.2885100046,11.8710547208
NAB,art_daily_nojump,0.6230976755000001,0.3221227418,0.318747559,0.3225351104,17.390425944
GutenTAG,ecg-type-platform,0.6306265657,0.3562216795,0.1869380514,0.3574331818,27.054265546
GutenTAG,cbf-diff-count-3,0.6314873992,0.0722838989,0.1780725834,0.0725852597,43.1164466874
GutenTAG,rw-type-platform,0.6342006060000001,0.5475428765,0.328794432,0.5505615924,32.890176535
NASA-MSL,F-4,0.6342500241,0.0681089397,0.059581761899999995,0.0695093205,17.3390833377
NASA-MSL,P-10,0.6352660501,0.40934538070000004,0.3250201116,0.4080922696,15.525534916500002
NASA-MSL,T-4,0.6385596307,0.2650854845,0.28865170900000003,0.083320963,11.407980204100001
GutenTAG,cbf-same-count-5,0.6396683578,0.0682447286,0.08342732189999999,0.06845830979999999,50.0213530324
GutenTAG,poly-combined-diff-3,0.6406472727,0.0333321144,0.0379816637,0.0337663318,31.652018762799997
GutenTAG,cbf-same-count-1,0.6427635858999999,0.0208239861,0.0325941288,0.021193452,49.1277706898
GutenTAG,cbf-position-end,0.6479351515999999,0.10108059809999999,0.12882137249999998,0.10273570530000001,48.357097023899996
NAB,ec2_cpu_utilization_5f5533,0.652408858,0.3094331549,0.28301084190000003,0.3100868349,13.8337677472
GutenTAG,cbf-same-count-2,0.6543084438,0.046905511500000004,0.0714132447,0.04724341,46.5488723251
NAB,TravelTime_451,0.6558902064,0.20221308110000003,0.2684923494,0.16297187600000002,13.9482899658
NAB,ec2_cpu_utilization_53ea38,0.6581503982,0.29828955549999997,0.2954842862,0.2975183788,19.985026861
NASA-MSL,F-5,0.65885294,0.3226360147,0.30630141169999997,0.32322661880000003,17.9126980786
KDD-TSAD,248_UCR_Anomaly_weallwalk,0.6592001899,0.2217232685,0.123540085,0.226707663,31.7556175189
NASA-SMAP,S-1,0.6598564040999999,0.37133326040000003,0.3398655181,0.37383762200000004,42.1334502232
NormA,Discords_marotta_valve_tek_17,0.6602438039,0.0750340451,0.06850749,0.0726779508,24.648310827699998
GutenTAG,cbf-combined-diff-1,0.6632851242,0.1228443873,0.11495308600000001,0.12343623740000001,44.3974104845
NAB,art_daily_jumpsdown,0.6650815017,0.4075589121,0.3826503851,0.4080911468,22.0104370361
GutenTAG,poly-diff-count-3,0.6662408185,0.1471927986,0.3628121299,0.1482716624,32.169644761
KDD-TSAD,069_UCR_Anomaly_DISTORTEDinsectEPG5,0.6694325323,0.00496054249,0.00030756844,0.009921084699999999,22.374476624000003
KDD-TSAD,107_UCR_Anomaly_NOISEinsectEPG3,0.6716833536,0.010317439500000001,0.0151542388,0.010911166,26.9263194548
GutenTAG,cbf-same-count-10,0.6727344505999999,0.17811989690000002,0.1634233794,0.1785494678,46.4187540553
KDD-TSAD,097_UCR_Anomaly_NOISEGP711MarkerLFM5z3,0.6733384448999999,0.2353674289,0.214003157,0.23562661559999998,46.8849882278
GutenTAG,ecg-noise-30%,0.674080303,0.32749000910000003,0.2712341567,0.328139958,59.15316584239999
GutenTAG,sinus-same-count-5,0.6752916421,0.2351999597,0.1912202811,0.23595126589999998,28.6546627513
NormA,Discords_patient_respiration1,0.6754788890000001,0.2777012434,0.23315904739999999,0.2771977541,28.6233154528
NASA-SMAP,E-9,0.6768346795,0.2850636595,0.25732050759999997,0.24537722990000002,40.9942961964
GutenTAG,cbf-type-amplitude,0.6788115659,0.045546856999999996,0.0353709922,0.046142872300000005,43.8597274105
GutenTAG,sinus-same-count-10,0.679270672,0.2674007345,0.2424539846,0.267866848,27.400330350499996
NAB,art_increase_spike_density,0.6822458934,0.6058488061,0.5659314283000001,0.4346614255,15.2473036291
KDD-TSAD,159_UCR_Anomaly_TkeepSecondMARS,0.6823993672,0.2966399677,0.1671002052,0.2979088882,39.2352080105
GutenTAG,ecg-noise-50%,0.6880800506,0.301042054,0.23995625120000003,0.301858881,63.316626455999995
