collection,dataset,algorithm,AUC-ROC,AUC-PR
Self-Generated,dataset_12.test.csv,COF,0.18335847159376573,0.00275
Self-Generated,dataset_12.test.csv,KNN,0.18335847159376573,0.00275
Self-Generated,dataset_12.test.csv,LOF,0.44690799396681746,0.0037267922482721234
Self-Generated,dataset_12.test.csv,PS-SVM,0.9522373051784816,0.1843485713306227
Self-Generated,dataset_12.test.csv,STAMP,0.41898441427853184,0.0047482426684633
Self-Generated,dataset_12.test.csv,STOMP,0.4189844142785319,0.0047482426684633
Self-Generated,dataset_12.test.csv,Sub-LOF,0.3898459710224416,0.004241555429772107
Self-Generated,dataset_12.test.csv,VALMOD,0.016880113350701585,0.002764472182585872
Self-Generated,dataset_12.test.csv,kMeans,0.9305452717217423,0.03536507145660116
Self-Generated,dataset_13.test.csv,CBLOF,0.47812280602954704,0.013710610058523672
Self-Generated,dataset_13.test.csv,COF,0.5751320605958213,0.01967536062397965
Self-Generated,dataset_13.test.csv,KNN,0.566917084342325,0.09527050991828431
Self-Generated,dataset_13.test.csv,LOF,0.5944829269208387,0.027727847164142738
Self-Generated,dataset_13.test.csv,PS-SVM,0.4374620337519476,0.011238600870419372
Self-Generated,dataset_13.test.csv,STAMP,0.8526725610557339,0.07979700576873867
Self-Generated,dataset_13.test.csv,STOMP,0.8526725610557339,0.07979700576873867
Self-Generated,dataset_13.test.csv,Sub-LOF,0.8318266974526477,0.07442239861577879
Self-Generated,dataset_13.test.csv,VALMOD,0.8526305119107958,0.07979469808749247
Self-Generated,dataset_13.test.csv,kMeans,0.7732582455745152,0.09432020913068678
Self-Generated,dataset_14.test.csv,CBLOF,0.6451811049908196,0.004218653083457259
Self-Generated,dataset_14.test.csv,COF,0.6272709063595393,0.004327179646742079
Self-Generated,dataset_14.test.csv,KNN,0.6962777499582709,0.006809129522609806
Self-Generated,dataset_14.test.csv,LOF,0.661345351360374,0.0029412329283008665
Self-Generated,dataset_14.test.csv,PS-SVM,0.35556000667668164,0.0011045887963241417
Self-Generated,dataset_14.test.csv,STAMP,0.9785945585044233,0.031725318396218796
Self-Generated,dataset_14.test.csv,STOMP,0.9785945585044233,0.031725318396218796
Self-Generated,dataset_14.test.csv,Sub-LOF,0.9652812552161576,0.019960759533153717
Self-Generated,dataset_14.test.csv,VALMOD,0.9786012351861125,0.03173640372295758
Self-Generated,dataset_14.test.csv,kMeans,0.8942280086796861,0.006519799787924776
Self-Generated,dataset_15.test.csv,CBLOF,0.5230691569914184,0.0098568167669641
Self-Generated,dataset_15.test.csv,COF,0.18334174659262997,0.00475
Self-Generated,dataset_15.test.csv,KNN,0.18334174659262997,0.00475
Self-Generated,dataset_15.test.csv,LOF,0.43745583038869257,0.006347721502071362
Self-Generated,dataset_15.test.csv,PS-SVM,0.953100773134249,0.36178280267577106
Self-Generated,dataset_15.test.csv,Sub-LOF,5.738728446558089e-05,0.004765117011389786
Self-Generated,dataset_15.test.csv,kMeans,0.5969095884587795,0.011035581750529263
Self-Generated,dataset_16.test.csv,CBLOF,0.5376698625120677,0.07442947181177433
Self-Generated,dataset_16.test.csv,COF,0.5804973534405273,0.05003605792870067
Self-Generated,dataset_16.test.csv,KNN,0.5657114085022803,0.06466158351321044
Self-Generated,dataset_16.test.csv,LOF,0.5965737874097007,0.054395583585141634
Self-Generated,dataset_16.test.csv,PS-SVM,0.7676354073038383,0.10082987717081092
Self-Generated,dataset_16.test.csv,STAMP,0.5837537867438995,0.05159324152946556
Self-Generated,dataset_16.test.csv,STOMP,0.5837537867438995,0.05159324152946556
Self-Generated,dataset_16.test.csv,Sub-LOF,0.7690801957455308,0.3082087574261632
Self-Generated,dataset_16.test.csv,VALMOD,0.5837850793967843,0.051594678163522735
Self-Generated,dataset_16.test.csv,kMeans,0.7848690036286161,0.3006293758196285
Self-Generated,dataset_17.test.csv,CBLOF,0.6016519657258065,0.20038210130609602
Self-Generated,dataset_17.test.csv,COF,0.6045785030241936,0.10384761102963815
Self-Generated,dataset_17.test.csv,KNN,0.5808543346774194,0.20573868720649177
Self-Generated,dataset_17.test.csv,LOF,0.6607396673387096,0.037990365094128106
Self-Generated,dataset_17.test.csv,PS-SVM,0.9735786290322581,0.6092018577540833
Self-Generated,dataset_17.test.csv,STAMP,0.33261718749999997,0.005474708037324719
Self-Generated,dataset_17.test.csv,STOMP,0.33261718749999997,0.005474708037324719
Self-Generated,dataset_17.test.csv,Sub-LOF,0.9999987399193548,0.9998447145061728
Self-Generated,dataset_17.test.csv,VALMOD,0.3328969254032258,0.00547704527050179
Self-Generated,dataset_17.test.csv,kMeans,0.9997001008064516,0.967105726824663
Self-Generated,dataset_18.test.csv,CBLOF,0.5904829766239663,0.1770044765867327
Self-Generated,dataset_18.test.csv,COF,0.5486645884089103,0.03469935407476919
Self-Generated,dataset_18.test.csv,KNN,0.5983974711619906,0.19682001616778344
Self-Generated,dataset_18.test.csv,LOF,0.5901024284179918,0.03695716067515557
Self-Generated,dataset_18.test.csv,PS-SVM,0.7459048716806818,0.2961021882541775
Self-Generated,dataset_18.test.csv,STAMP,0.5094242876727879,0.03127828179176392
Self-Generated,dataset_18.test.csv,STOMP,0.5094242876727879,0.03127828179176392
Self-Generated,dataset_18.test.csv,Sub-LOF,0.8743268802556781,0.5555635915482452
Self-Generated,dataset_18.test.csv,VALMOD,0.5094497856250928,0.03127915574765071
Self-Generated,dataset_18.test.csv,kMeans,0.7869426034107878,0.5528686893590599
Self-Generated,dataset_19.test.csv,CBLOF,0.5079420205262902,0.032350054813039236
Self-Generated,dataset_19.test.csv,COF,0.5080478136096114,0.022259870935211885
Self-Generated,dataset_19.test.csv,KNN,0.5741064740502942,0.04191411714082805
Self-Generated,dataset_19.test.csv,LOF,0.4871783647064546,0.02151008347866916
Self-Generated,dataset_19.test.csv,PS-SVM,0.7087008122963179,0.05668044212032772
Self-Generated,dataset_19.test.csv,STAMP,0.6524646140376478,0.03034725915797647
Self-Generated,dataset_19.test.csv,STOMP,0.6524646140376478,0.03034725915797647
Self-Generated,dataset_19.test.csv,Sub-LOF,0.8529106474050294,0.2632522719385785
Self-Generated,dataset_19.test.csv,VALMOD,0.6524792061870714,0.0303479123334149
Self-Generated,dataset_19.test.csv,kMeans,0.8182499148791282,0.2465244965835055
Self-Generated,dataset_2.test.csv,CBLOF,0.5931651924070249,0.22538652121201153
Self-Generated,dataset_2.test.csv,COF,0.4974712680785124,0.08385288517289277
Self-Generated,dataset_2.test.csv,KNN,0.5165407089359504,0.22013158207457117
Self-Generated,dataset_2.test.csv,LOF,0.5828993414256198,0.07377001336968364
Self-Generated,dataset_2.test.csv,PS-SVM,0.9356056301652892,0.5142349358857177
Self-Generated,dataset_2.test.csv,STAMP,0.4172217200413223,0.026250972598298984
Self-Generated,dataset_2.test.csv,STOMP,0.4157102272727272,0.02620943285472549
Self-Generated,dataset_2.test.csv,Sub-LOF,0.8238520144628099,0.6726475042530299
Self-Generated,dataset_2.test.csv,VALMOD,0.4157102272727272,0.02620943285472549
Self-Generated,dataset_2.test.csv,kMeans,0.9718126936983471,0.7121328828396775
Self-Generated,dataset_3.test.csv,CBLOF,0.6622911838790932,0.18754695506910998
Self-Generated,dataset_3.test.csv,COF,0.6713209068010075,0.058368388531007724
Self-Generated,dataset_3.test.csv,KNN,0.6537309823677582,0.1744876218567976
Self-Generated,dataset_3.test.csv,LOF,0.5822233417296389,0.024681158780080578
Self-Generated,dataset_3.test.csv,PS-SVM,0.8678260285474391,0.17477070849084791
Self-Generated,dataset_3.test.csv,STAMP,0.7598307304785893,0.014326165879895759
Self-Generated,dataset_3.test.csv,STOMP,0.7598307304785893,0.014326165879895759
Self-Generated,dataset_3.test.csv,Sub-LOF,0.9996910159529806,0.9615376813867252
Self-Generated,dataset_3.test.csv,VALMOD,0.7598307304785893,0.014326165879895759
Self-Generated,dataset_3.test.csv,kMeans,0.9994183039462636,0.9298137397225027
Self-Generated,dataset_4.test.csv,CBLOF,0.4956689257028113,0.0044822772214805975
Self-Generated,dataset_4.test.csv,COF,0.5578589357429719,0.007112870521658812
Self-Generated,dataset_4.test.csv,KNN,0.5316930220883535,0.005080026352947752
Self-Generated,dataset_4.test.csv,LOF,0.616734437751004,0.0069730448466515035
Self-Generated,dataset_4.test.csv,PS-SVM,0.8322715863453816,0.010988980500186634
Self-Generated,dataset_4.test.csv,STAMP,0.8331626506024097,0.021551394830358166
Self-Generated,dataset_4.test.csv,STOMP,0.8331626506024097,0.021551394830358166
Self-Generated,dataset_4.test.csv,Sub-LOF,0.9048569277108433,0.020283531053048115
Self-Generated,dataset_4.test.csv,VALMOD,0.8332028112449799,0.021552499837440526
Self-Generated,dataset_4.test.csv,kMeans,0.8788453815261044,0.015910871979768284
Self-Generated,dataset_5.test.csv,CBLOF,0.6196008416439447,0.034974712216435035
Self-Generated,dataset_5.test.csv,COF,0.6237956149852464,0.03380361830429909
Self-Generated,dataset_5.test.csv,KNN,0.6023416626203015,0.028164036680890136
Self-Generated,dataset_5.test.csv,LOF,0.5644270969509082,0.026765971966497257
Self-Generated,dataset_5.test.csv,PS-SVM,0.5037866507302132,0.019592398432658947
Self-Generated,dataset_5.test.csv,STAMP,0.8811603730126121,0.17677455439160694
Self-Generated,dataset_5.test.csv,STOMP,0.8811603730126121,0.17677455439160694
Self-Generated,dataset_5.test.csv,Sub-LOF,0.7650279510452073,0.05569561730776502
Self-Generated,dataset_5.test.csv,VALMOD,0.881195732018576,0.17680182791969967
Self-Generated,dataset_5.test.csv,kMeans,0.7218919558261433,0.0403435449918564
Self-Generated,dataset_6.test.csv,CBLOF,0.5175497721518987,0.013227564961869318
Self-Generated,dataset_6.test.csv,COF,0.5328502278481013,0.013223567850221128
Self-Generated,dataset_6.test.csv,KNN,0.5629464303797469,0.019246662266821885
Self-Generated,dataset_6.test.csv,LOF,0.45465275949367095,0.011339516586470626
Self-Generated,dataset_6.test.csv,PS-SVM,0.7914264303797469,0.038735726973895226
Self-Generated,dataset_6.test.csv,STAMP,0.5834515443037975,0.06514863822917302
Self-Generated,dataset_6.test.csv,STOMP,0.5834515443037975,0.06514863822917302
Self-Generated,dataset_6.test.csv,Sub-LOF,0.7046537721518987,0.019230789894486986
Self-Generated,dataset_6.test.csv,VALMOD,0.5834596455696204,0.06514877694325741
Self-Generated,dataset_6.test.csv,kMeans,0.8019418734177216,0.028415460728294192
Self-Generated,dataset_7.test.csv,CBLOF,0.5345989969988942,0.02570716551038293
Self-Generated,dataset_7.test.csv,COF,0.401368069815195,0.02005816869900843
Self-Generated,dataset_7.test.csv,KNN,0.4602165929552993,0.024808087890850025
Self-Generated,dataset_7.test.csv,LOF,0.4200369214973938,0.020202058415706395
Self-Generated,dataset_7.test.csv,PS-SVM,0.5614740957194756,0.03313088062703231
Self-Generated,dataset_7.test.csv,Sub-LOF,0.6301354446374979,0.046549538881401745
Self-Generated,dataset_7.test.csv,kMeans,0.5880366450797662,0.03303245436729207
Self-Generated,dataset_8.test.csv,CBLOF,0.3997226281250831,0.007544508466626789
Self-Generated,dataset_8.test.csv,COF,0.5796184808310529,0.03133246424192151
Self-Generated,dataset_8.test.csv,KNN,0.4883461303435267,0.13859454763252058
Self-Generated,dataset_8.test.csv,LOF,0.6599633359015914,0.06373331843955235
Self-Generated,dataset_8.test.csv,PS-SVM,0.8469162305055926,0.3202605428373703
Self-Generated,dataset_8.test.csv,STAMP,0.23052047078827814,0.00858982373278388
Self-Generated,dataset_8.test.csv,STOMP,0.23052047078827814,0.00858982373278388
Self-Generated,dataset_8.test.csv,Sub-LOF,0.8617104598953212,0.7719109416276112
Self-Generated,dataset_8.test.csv,VALMOD,0.23021015436116793,0.008576855776053941
Self-Generated,dataset_8.test.csv,kMeans,0.8516039214644385,0.7913190340669517
Self-Generated,dataset_9.test.csv,CBLOF,0.2820810405202602,0.0002940834453313895
Self-Generated,dataset_9.test.csv,COF,0.3119959979989995,0.00032362675930571903
Self-Generated,dataset_9.test.csv,KNN,0.25090545272636317,0.0002840246740023343
Self-Generated,dataset_9.test.csv,LOF,0.5186593296648324,0.0004316803737222701
Self-Generated,dataset_9.test.csv,PS-SVM,0.7110355177588794,0.000857751101408257
Self-Generated,dataset_9.test.csv,STAMP,0.7452526263131566,0.0009062614753449422
Self-Generated,dataset_9.test.csv,STOMP,0.7452526263131566,0.0009062614753449422
Self-Generated,dataset_9.test.csv,Sub-LOF,0.8709154577288645,0.001903271722112101
Self-Generated,dataset_9.test.csv,VALMOD,0.7452526263131566,0.0009062614753449422
Self-Generated,dataset_9.test.csv,kMeans,0.8583291645822911,0.0017425249126252302
