Folder,Results
sinus-same-count-5,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5061880000000001, 'AUC-PR': 0.05099564547938572}, {'Algorithm': 'COF', 'AUC-ROC': 0.5143142105263158, 'AUC-PR': 0.051724779137870075}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9805987368421053, 'AUC-PR': 0.5833392908577486}, {'Algorithm': 'KNN', 'AUC-ROC': 0.44770494736842104, 'AUC-PR': 0.047604181840524784}, {'Algorithm': 'LOF', 'AUC-ROC': 0.49468789473684205, 'AUC-PR': 0.04889976902177327}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9824705263157895, 'AUC-PR': 0.8983979189461729}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.6601336842105262, 'AUC-PR': 0.06683071219539899}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.6601336842105262, 'AUC-PR': 0.06683071219539899}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9476515789473683, 'AUC-PR': 0.30763233704886206}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.6561741052631579, 'AUC-PR': 0.06627911175949959}]"
ecg-same-count-10,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5030347777777778, 'AUC-PR': 0.1010962920088756}, {'Algorithm': 'COF', 'AUC-ROC': 0.5137565555555555, 'AUC-PR': 0.10364420392623074}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9940844444444445, 'AUC-PR': 0.8447623124695002}, {'Algorithm': 'KNN', 'AUC-ROC': 0.4892266666666667, 'AUC-PR': 0.10126050673736275}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5012807222222222, 'AUC-PR': 0.101116428364734}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.8448526666666667, 'AUC-PR': 0.482771209693977}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9522378888888889, 'AUC-PR': 0.5439464739665962}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9522378888888887, 'AUC-PR': 0.5439464659755596}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.8951765555555555, 'AUC-PR': 0.3194035917352955}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9537115555555555, 'AUC-PR': 0.5468573653900047}]"
poly-combined-diff-1,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.6455428147401434, 'AUC-PR': 0.09933618694824366}, {'Algorithm': 'COF', 'AUC-ROC': 0.5770554052301452, 'AUC-PR': 0.14540752388361214}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9994734926193171, 'AUC-PR': 0.9913692235146433}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6714657501237974, 'AUC-PR': 0.23232396346665324}, {'Algorithm': 'LOF', 'AUC-ROC': 0.6556673048127711, 'AUC-PR': 0.1942873647423553}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.7206439896363893, 'AUC-PR': 0.1361427372542271}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.4920095412422184, 'AUC-PR': 0.05336774191329176}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.4920095412422184, 'AUC-PR': 0.05336774191329176}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9801362287186379, 'AUC-PR': 0.7796966936034786}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.4907275381413884, 'AUC-PR': 0.05328792717752016}]"
sinus-length-10,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.4841141141141141, 'AUC-PR': 0.10088289816496039}, {'Algorithm': 'COF', 'AUC-ROC': 0.5397897897897899, 'AUC-PR': 0.10413201045417653}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.99993993993994, 'AUC-PR': 0.9450650738150738}, {'Algorithm': 'KNN', 'AUC-ROC': 0.5913413413413413, 'AUC-PR': 0.10134347757230755}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5601801801801802, 'AUC-PR': 0.10189693096315044}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9702802802802802, 'AUC-PR': 0.0283203504509614}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.99993993993994, 'AUC-PR': 0.9450650738150738}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.99993993993994, 'AUC-PR': 0.9450650738150738}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.99992992992993, 'AUC-PR': 0.9316722166722167}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.99993993993994, 'AUC-PR': 0.9450650738150738}]"
rw-diff-count-1,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'COF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'kMeans', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'KNN', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'LOF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'STAMP', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'STOMP', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'VALMOD', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}]"
cbf-position-end,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.9247929292929292, 'AUC-PR': 0.07445259233664349}, {'Algorithm': 'COF', 'AUC-ROC': 0.5140818181818182, 'AUC-PR': 0.029173255984180062}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.995670707070707, 'AUC-PR': 0.526772551863649}, {'Algorithm': 'KNN', 'AUC-ROC': 0.9698434343434343, 'AUC-PR': 0.14922577349799282}, {'Algorithm': 'LOF', 'AUC-ROC': 0.504130303030303, 'AUC-PR': 0.023500040153934157}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9585202020202019, 'AUC-PR': 0.11007238237203713}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.5927272727272728, 'AUC-PR': 0.013152931285145853}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.5927272727272728, 'AUC-PR': 0.013152931285145853}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9420464646464647, 'AUC-PR': 0.07691064067820604}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.5927343434343434, 'AUC-PR': 0.013153036838160525}]"
rw-diff-count-6,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.3704665624010427, 'AUC-PR': 0.07471529319955915}, {'Algorithm': 'COF', 'AUC-ROC': 0.3143900639609296, 'AUC-PR': 0.06051555955125721}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9863849519615363, 'AUC-PR': 0.7176682778632658}, {'Algorithm': 'KNN', 'AUC-ROC': 0.4073216867664817, 'AUC-PR': 0.07465980742837836}, {'Algorithm': 'LOF', 'AUC-ROC': 0.45380267993332213, 'AUC-PR': 0.0575034166100426}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.7411779241811145, 'AUC-PR': 0.08985666322137428}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9647014004415635, 'AUC-PR': 0.5381511689776699}]"
poly-type-trend,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.9468909090909091, 'AUC-PR': 0.1631466105060609}, {'Algorithm': 'COF', 'AUC-ROC': 0.4849136363636364, 'AUC-PR': 0.008788449744170836}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.943620202020202, 'AUC-PR': 0.07554885076099786}, {'Algorithm': 'KNN', 'AUC-ROC': 0.9669560606060605, 'AUC-PR': 0.15477155681222687}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5106520202020203, 'AUC-PR': 0.00966413649375587}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.38014141414141417, 'AUC-PR': 0.008039605113837653}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.00044545454545454445, 'AUC-PR': 0.005016809823519305}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.00044545454545454445, 'AUC-PR': 0.005016809823519305}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9750535353535352, 'AUC-PR': 0.1547412923706216}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.00044444444444444403, 'AUC-PR': 0.005016812103407492}]"
sinus-type-trend,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5448909090909091, 'AUC-PR': 0.014303811494704204}, {'Algorithm': 'COF', 'AUC-ROC': 0.47568636363636363, 'AUC-PR': 0.009016959419605182}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9999939393939394, 'AUC-PR': 0.999406774748851}, {'Algorithm': 'KNN', 'AUC-ROC': 0.5758252525252525, 'AUC-PR': 0.01270023741148971}, {'Algorithm': 'LOF', 'AUC-ROC': 0.48919848484848477, 'AUC-PR': 0.009445898546599968}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.03175959595959596, 'AUC-PR': 0.005047235645290852}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9248737373737375, 'AUC-PR': 0.07396112520958423}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9248737373737375, 'AUC-PR': 0.07396112520958423}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}]"
sinus-position-middle,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5927969696969697, 'AUC-PR': 0.033908279637476085}, {'Algorithm': 'COF', 'AUC-ROC': 0.5406813131313132, 'AUC-PR': 0.02462838859961508}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9987020202020201, 'AUC-PR': 0.863050096026116}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6329959595959596, 'AUC-PR': 0.0335399989789163}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5615868686868687, 'AUC-PR': 0.023941379357421324}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.913669696969697, 'AUC-PR': 0.4126257956377778}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.7256181818181818, 'AUC-PR': 0.2281978748356492}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.7256181818181818, 'AUC-PR': 0.2281978748356492}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9994535353535353, 'AUC-PR': 0.9456336329381599}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.7352313131313132, 'AUC-PR': 0.22843818141510588}]"
ecg-type-variance,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.632620202020202, 'AUC-PR': 0.014490214362400663}, {'Algorithm': 'COF', 'AUC-ROC': 0.5472474747474747, 'AUC-PR': 0.014165043255291544}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.8912828282828282, 'AUC-PR': 0.041800114484935036}, {'Algorithm': 'KNN', 'AUC-ROC': 0.7056015151515151, 'AUC-PR': 0.018188877753595546}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5792267676767676, 'AUC-PR': 0.018395398905236608}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9601262626262625, 'AUC-PR': 0.5035623982963954}, {'Algorithm': 'STAMP', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'STOMP', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9999969696969697, 'AUC-PR': 0.9997024458328185}]"
sinus-diff-count-4,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.6554777199005686, 'AUC-PR': 0.29872681129611817}, {'Algorithm': 'COF', 'AUC-ROC': 0.6098686750252365, 'AUC-PR': 0.16322253422894772}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9955271615835999, 'AUC-PR': 0.8373173364681921}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6281356196943275, 'AUC-PR': 0.29985976996270597}, {'Algorithm': 'LOF', 'AUC-ROC': 0.6396510035113392, 'AUC-PR': 0.2636662934775839}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9331530222487574, 'AUC-PR': 0.5344533090864307}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9220658087503626, 'AUC-PR': 0.6820900730346308}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9220658087503626, 'AUC-PR': 0.6820900730346308}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9933082117243994, 'AUC-PR': 0.7787313703584345}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9237986996638692, 'AUC-PR': 0.6852454671869864}]"
sinus-diff-count-3,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.6228573883161512, 'AUC-PR': 0.29823561877137494}, {'Algorithm': 'COF', 'AUC-ROC': 0.5741034364261168, 'AUC-PR': 0.12653061002746027}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9981137457044674, 'AUC-PR': 0.9424509284315814}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6394369415807559, 'AUC-PR': 0.2980655233300696}, {'Algorithm': 'LOF', 'AUC-ROC': 0.6183549828178695, 'AUC-PR': 0.25324447222758323}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9833164948453608, 'AUC-PR': 0.5187649312374393}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.8891759450171821, 'AUC-PR': 0.6201837774762259}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.8891759450171821, 'AUC-PR': 0.6201837774762259}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9965127147766323, 'AUC-PR': 0.874738291422387}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.8897037800687285, 'AUC-PR': 0.6203571813183714}]"
ecg-length-1000,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.6129852222222222, 'AUC-PR': 0.13213201706819083}, {'Algorithm': 'COF', 'AUC-ROC': 0.521652, 'AUC-PR': 0.11953687821508663}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9999766666666666, 'AUC-PR': 0.9997907243252804}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6837541666666667, 'AUC-PR': 0.14981582887947098}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5365652222222222, 'AUC-PR': 0.13017201504513382}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9048595555555556, 'AUC-PR': 0.8112472392602823}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9999475555555556, 'AUC-PR': 0.9994830308143442}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9999475555555556, 'AUC-PR': 0.9994830308143442}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9999401111111111, 'AUC-PR': 0.999463367282995}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9999491111111112, 'AUC-PR': 0.9995010480543021}]"
cbf-length-10,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.8323723723723724, 'AUC-PR': 0.004678562917396758}, {'Algorithm': 'COF', 'AUC-ROC': 0.36727227227227227, 'AUC-PR': 0.0008797204121518168}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.8760160160160161, 'AUC-PR': 0.003978643272546807}, {'Algorithm': 'KNN', 'AUC-ROC': 0.7909809809809809, 'AUC-PR': 0.002664836331657715}, {'Algorithm': 'LOF', 'AUC-ROC': 0.4573723723723724, 'AUC-PR': 0.001095029075837268}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9412912912912913, 'AUC-PR': 0.008351550313864198}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.7980780780780781, 'AUC-PR': 0.002392030091470738}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.7980780780780781, 'AUC-PR': 0.002392030091470738}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.7587187187187188, 'AUC-PR': 0.002063158184119538}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.7981581581581582, 'AUC-PR': 0.0023930358257322347}]"
